source_file,broker,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,raw_row_index,instrument_name,instrument_code_raw,instrument_code_std,exchange,asset_type,quantity,unit_cost,cost,market_price,market_value,unrealized_pnl,subject_code,subject_name,suspension_info,review_flag,review_note
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),25,万华化学,600309,600309.SH,SH,a_share,16300.0,75.04,1223155.0,68.53,1117039.0,-106116.0,11020101600309,万华化学,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),26,赛轮轮胎,601058,601058.SH,SH,a_share,39900.0,15.5,618450.0,14.81,590919.0,-27531.0,11020101601058,赛轮轮胎,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),27,博迁新材,605376,605376.SH,SH,a_share,12500.0,30.69,383636.22,38.35,479375.0,95738.78,11020101605376,博迁新材,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),31,美的集团,000333,000333.SZ,SZ,a_share,14500.0,71.8,1041060.0,76.5,1109250.0,68190.0,11023101000333,美的集团,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),32,海康威视,002415,002415.SZ,SZ,a_share,84600.0,29.67,2510408.56,31.08,2629368.0,118959.44,11023101002415,海康威视,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),33,申通快递,002468,002468.SZ,SZ,a_share,96000.0,11.13,1068276.0,11.79,1131840.0,63564.0,11023101002468,申通快递,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),34,立讯精密,002475,002475.SZ,SZ,a_share,87600.0,39.8,3486822.0,40.78,3572328.0,85506.0,11023101002475,立讯精密,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),35,天赐材料,002709,002709.SZ,SZ,a_share,5900.0,24.71,145789.0,19.18,113162.0,-32627.0,11023101002709,天赐材料,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),39,信德新材,301349,301349.SZ,SZ,a_share,17400.0,37.52,652817.0,37.79,657546.0,4729.0,11024101301349,信德新材,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),43,腾讯控股,00700,00700.HK,HK,hk_equity,12400.0,367.9,4561947.66,476.07,5903239.48,1341291.82,11028101H00700,腾讯控股,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),44,理想汽车－Ｗ,02015,02015.HK,HK,hk_equity,24400.0,92.16,2248705.34,96.52,2355160.22,106454.88,11028101H02015,理想汽车－Ｗ,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),45,安踏体育,02020,02020.HK,HK,hk_equity,16400.0,82.16,1347493.81,83.71,1372833.34,25339.53,11028101H02020,安踏体育,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),46,中通快递－Ｗ,02057,02057.HK,HK,hk_equity,6700.0,169.07,1132735.69,146.0,978202.21,-154533.48,11028101H02057,中通快递－Ｗ,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),47,长城汽车,02333,02333.HK,HK,hk_equity,41500.0,13.51,560506.07,13.47,558935.28,-1570.79,11028101H02333,长城汽车,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),48,贝壳－Ｗ,02423,02423.HK,HK,hk_equity,33700.0,52.66,1774651.8,52.28,1761946.2,-12705.6,11028101H02423,贝壳－Ｗ,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),49,协鑫科技,03800,03800.HK,HK,hk_equity,405000.0,1.21,488048.67,0.94,382584.47,-105464.2,11028101H03800,协鑫科技,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),50,康方生物,09926,09926.HK,HK,hk_equity,2000.0,66.41,132815.44,66.36,132719.07,-96.37,11028101H09926,康方生物,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),54,九号公司,689009,689009.SH,SH,a_share,44360.0,45.94,2038057.1,65.3,2896708.0,858650.9,1102A101689009,九号公司,正常交易,,
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),58,晶丰明源,688368,688368.SH,SH,a_share,3522.0,54.58,192237.46,93.57,329553.54,137316.08,1102C101688368,晶丰明源,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),42,万华化学,600309,600309.SH,SH,a_share,866100.0,84.6,73273976.1,68.53,59353833.0,-13920143.1,11020101600309,万华化学,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),43,宝丰能源,600989,600989.SH,SH,a_share,986100.0,14.53,14323932.11,15.86,15639546.0,1315613.89,11020101600989,宝丰能源,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),44,隆基绿能,601012,601012.SH,SH,a_share,3883667.0,17.23,66907101.34,17.04,66177685.68,-729415.66,11020101601012,隆基绿能,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),45,赛轮轮胎,601058,601058.SH,SH,a_share,3159400.0,12.26,38733588.19,14.81,46790714.0,8057125.81,11020101601058,赛轮轮胎,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),46,博迁新材,605376,605376.SH,SH,a_share,210800.0,40.35,8506084.0,38.35,8084180.0,-421904.0,11020101605376,博迁新材,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),55,石基信息,002153,002153.SZ,SZ,a_share,5874346.0,11.48,67432190.29,8.08,47464715.68,-19967474.61,11023101002153,石基信息,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),56,海大集团,002311,002311.SZ,SZ,a_share,280500.0,43.52,12207403.54,50.13,14061465.0,1854061.46,11023101002311,海大集团,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),57,杰瑞股份,002353,002353.SZ,SZ,a_share,1318700.0,37.37,49285659.36,37.12,48950144.0,-335515.36,11023101002353,杰瑞股份,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),58,海康威视,002415,002415.SZ,SZ,a_share,4137233.0,37.88,156738143.4,31.08,128585201.64,-28152941.76,11023101002415,海康威视,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),59,立讯精密,002475,002475.SZ,SZ,a_share,5388600.0,34.09,183689901.78,40.78,219747108.0,36057206.22,11023101002475,立讯精密,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),68,腾讯控股,00700,00700.HK,HK,hk_equity,49700.0,394.73,19618008.19,476.07,23660564.69,4042556.5,11028101H00700,腾讯控股,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),69,理想汽车－Ｗ,02015,02015.HK,HK,hk_equity,628800.0,96.49,60675526.64,96.52,60693637.25,18110.61,11028101H02015,理想汽车－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),70,安踏体育,02020,02020.HK,HK,hk_equity,1411800.0,78.66,111055429.26,83.71,118180860.33,7125431.07,11028101H02020,安踏体育,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),71,申洲国际,02313,02313.HK,HK,hk_equity,65200.0,57.17,3727492.82,57.29,3735120.55,7627.73,11028101H02313,申洲国际,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),72,康方生物－Ｂ,09926,09926.HK,HK,hk_equity,1364000.0,56.35,76865159.77,66.36,90514405.74,13649245.97,11028101H09926,康方生物－Ｂ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),73,阿里巴巴－Ｗ,09988,09988.HK,HK,hk_equity,526900.0,88.65,46710189.29,121.68,64114525.06,17404335.77,11028101H09988,阿里巴巴－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.csv,CUSTODIAN_GROUP_001,20250327_PRODUCT_002_证券投资基金估值表,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),83,惠泰医疗,688617,688617.SH,SH,a_share,5290.0,366.29,1937679.98,393.0,2078970.0,141290.02,1102C101688617,惠泰医疗,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),42,万华化学,600309,600309.SH,SH,a_share,866100.0,84.6,73273976.1,68.53,59353833.0,-13920143.1,11020101600309,万华化学,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),43,宝丰能源,600989,600989.SH,SH,a_share,986100.0,14.53,14323932.11,15.86,15639546.0,1315613.89,11020101600989,宝丰能源,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),44,隆基绿能,601012,601012.SH,SH,a_share,3883667.0,17.23,66907101.34,17.04,66177685.68,-729415.66,11020101601012,隆基绿能,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),45,赛轮轮胎,601058,601058.SH,SH,a_share,3159400.0,12.26,38733588.19,14.81,46790714.0,8057125.81,11020101601058,赛轮轮胎,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),46,博迁新材,605376,605376.SH,SH,a_share,210800.0,40.35,8506084.0,38.35,8084180.0,-421904.0,11020101605376,博迁新材,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),55,石基信息,002153,002153.SZ,SZ,a_share,5874346.0,11.48,67432190.29,8.08,47464715.68,-19967474.61,11023101002153,石基信息,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),56,海大集团,002311,002311.SZ,SZ,a_share,280500.0,43.52,12207403.54,50.13,14061465.0,1854061.46,11023101002311,海大集团,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),57,杰瑞股份,002353,002353.SZ,SZ,a_share,1318700.0,37.37,49285659.36,37.12,48950144.0,-335515.36,11023101002353,杰瑞股份,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),58,海康威视,002415,002415.SZ,SZ,a_share,4137233.0,37.88,156738143.4,31.08,128585201.64,-28152941.76,11023101002415,海康威视,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),59,立讯精密,002475,002475.SZ,SZ,a_share,5388600.0,34.09,183689901.78,40.78,219747108.0,36057206.22,11023101002475,立讯精密,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),68,腾讯控股,00700,00700.HK,HK,hk_equity,49700.0,394.73,19618008.19,476.07,23660564.69,4042556.5,11028101H00700,腾讯控股,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),69,理想汽车－Ｗ,02015,02015.HK,HK,hk_equity,628800.0,96.49,60675526.64,96.52,60693637.25,18110.61,11028101H02015,理想汽车－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),70,安踏体育,02020,02020.HK,HK,hk_equity,1411800.0,78.66,111055429.26,83.71,118180860.33,7125431.07,11028101H02020,安踏体育,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),71,申洲国际,02313,02313.HK,HK,hk_equity,65200.0,57.17,3727492.82,57.29,3735120.55,7627.73,11028101H02313,申洲国际,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),72,康方生物－Ｂ,09926,09926.HK,HK,hk_equity,1364000.0,56.35,76865159.77,66.36,90514405.74,13649245.97,11028101H09926,康方生物－Ｂ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),73,阿里巴巴－Ｗ,09988,09988.HK,HK,hk_equity,526900.0,88.65,46710189.29,121.68,64114525.06,17404335.77,11028101H09988,阿里巴巴－Ｗ,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),83,惠泰医疗,688617,688617.SH,SH,a_share,5290.0,366.29,1937679.98,393.0,2078970.0,141290.02,1102C101688617,惠泰医疗,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),30,招商银行,600036,600036.SH,SH,a_share,1.0,42.39,635877.0,43.26,648900.0,13023.0,1102.01.01.600036 SH,招商银行,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),31,万华化学,600309,600309.SH,SH,a_share,1.0,71.29,206743.24,68.53,198737.0,-8006.24,1102.01.01.600309 SH,万华化学,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),32,江苏银行,600919,600919.SH,SH,a_share,1.0,9.47,449029.0,9.55,452670.0,3641.0,1102.01.01.600919 SH,江苏银行,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),33,赛轮轮胎,601058,601058.SH,SH,a_share,1.0,14.01,89657.21,14.81,94784.0,5126.79,1102.01.01.601058 SH,赛轮轮胎,正常交易,,
data_samples\raw\PRODUCT_006_资产估值表_20250327.xls,CUSTODIAN_GROUP_003,Sheet1,2025-03-27,PRODUCT_006,,CUSTODIAN_003,CUSTODIAN_GROUP_003,citics,mapping(product_id),34,赛力斯,601127,601127.SH,SH,a_share,1.0,123.78,24755.0,126.9,25380.0,625.0,1102.01.01.601127 SH,赛力斯,正常交易,,
