source_file,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,subject_code,subject_name,parent_subject_code,subject_level,is_leaf,quantity,unit_cost,cost,market_price,market_value,pnl,raw_row_index,raw_text
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),1002,银行存款,,1,False,,,3104663.27,,3104663.27,,5,1002 | 银行存款 | 3104663.27 | 12.1031 | 3104663.27 | 12.1031
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),100201,活期存款,1002,2,False,,,3103685.58,,3103685.58,,6,100201 | 活期存款 | 3103685.58 | 12.0993 | 3103685.58 | 12.0993
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10020101,平安银行,100201,3,True,,,3103685.58,,3103685.58,,7,10020101 | 平安银行 | 3103685.58 | 12.0993 | 3103685.58 | 12.0993
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),100206,应计利息,1002,2,False,,,977.69,,977.69,,8,100206 | 应计利息 | 977.69 | 0.0038 | 977.69 | 0.0038
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10020601,应计活期银行存款利息,100206,3,False,,,977.69,,977.69,,9,10020601 | 应计活期银行存款利息 | 977.69 | 0.0038 | 977.69 | 0.0038
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10020601000001,应计活期存款利息,10020601,4,True,,,977.69,,977.69,,10,10020601000001 | 应计活期存款利息 | 977.69 | 0.0038 | 977.69 | 0.0038
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),1021,清算备付金,,1,False,,,2285.17,,2285.17,,11,1021 | 清算备付金 | 2285.17 | 0.0089 | 2285.17 | 0.0089
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),102113,期货清算备付金,1021,2,False,,,2285.17,,2285.17,,12,102113 | 期货清算备付金 | 2285.17 | 0.0089 | 2285.17 | 0.0089
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),102113D9,宝城期货,102113,4,True,,,2285.17,,2285.17,,13,102113D9 | 宝城期货 | 2285.17 | 0.0089 | 2285.17 | 0.0089
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),1031,存出保证金,,1,False,,,19158917.22,,19158917.22,,14,1031 | 存出保证金 | 19158917.22 | 74.6886 | 19158917.22 | 74.6886
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),103106,券商保证金账户,1031,2,False,,,15948527.56,,15948527.56,,15,103106 | 券商保证金账户 | 15948527.56 | 62.1733 | 15948527.56 | 62.1733
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10310601,长城证券,103106,3,True,,,15948527.56,,15948527.56,,16,10310601 | 长城证券 | 15948527.56 | 62.1733 | 15948527.56 | 62.1733
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),103132,收益互换协议履约保证金,1031,2,False,,,3210389.66,,3210389.66,,17,103132 | 收益互换协议履约保证金 | 3210389.66 | 12.5153 | 3210389.66 | 12.5153
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10313210,RMB预付金,103132,3,True,,,3245289.04,,3245289.04,,18,10313210 | RMB预付金 | 3245289.04 | 12.6513 | 3245289.04 | 12.6513
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),10313212,HKD-EQ预付金,103132,3,True,,,-34899.38,,-34899.38,,19,10313212 | HKD-EQ预付金 | -34899.38 | -0.1361 | -34899.38 | -0.1361
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),1102,以公允价值计量且其变动计入当期损益的股票投资,,1,False,244500.0,,1962589.27,,2020519.24,57929.97,20,1102 | 以公允价值计量且其变动计入当期损益的股票投资 | 244500 | 1962589.27 | 7.6509 | 2020519.24 | 7.8767 | 57929.97
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),110281,港股通股票,1102,2,False,244500.0,,1962589.27,,2020519.24,57929.97,21,110281 | 港股通股票 | 244500 | 1962589.27 | 7.6509 | 2020519.24 | 7.8767 | 57929.97
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028101,股票成本_股票成本_港股通,110281,3,False,244500.0,,1962589.27,,2020519.24,57929.97,22,11028101 | 股票成本_股票成本_港股通 | 244500 | 1962589.27 | 7.6509 | 2020519.24 | 7.8767 | 57929.97
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028101H02208,金风科技,11028101,4,True,151000.0,5.15,777364.82,5.04,761231.32,-16133.5,23,11028101H02208 | 金风科技 | 151000 | 5.15 | 777364.82 | 3.0305 | 5.04 | 761231.32 | 2.9676 | -16133.5 | 【正常交易】
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028101H02333,长城汽车,11028101,4,True,93500.0,12.68,1185224.45,13.47,1259287.92,74063.47,24,11028101H02333 | 长城汽车 | 93500 | 12.68 | 1185224.45 | 4.6204 | 13.47 | 1259287.92 | 4.9092 | 74063.47 | 【正常交易】
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028199,股票估值增值_港股通,110281,3,False,,,57929.97,,57929.97,,25,11028199 | 股票估值增值_港股通 | 57929.97 | 0.2258 | 57929.97 | 0.2258
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028199H02208,金风科技,11028199,4,True,,,-16133.5,,-16133.5,,26,11028199H02208 | 金风科技 | -16133.5 | -0.0629 | -16133.5 | -0.0629
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),11028199H02333,长城汽车,11028199,4,True,,,74063.47,,74063.47,,27,11028199H02333 | 长城汽车 | 74063.47 | 0.2887 | 74063.47 | 0.2887
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),2205,应付外包服务费,,1,False,,,1374.87,,1374.87,,28,2205 | 应付外包服务费 | 1374.87 | 0.0054 | 1374.87 | 0.0054
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),220501,应付外包服务费,2205,2,True,,,1374.87,,1374.87,,29,220501 | 应付外包服务费 | 1374.87 | 0.0054 | 1374.87 | 0.0054
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),2206,应付管理人报酬,,1,False,,,43996.62,,43996.62,,30,2206 | 应付管理人报酬 | 43996.62 | 0.1715 | 43996.62 | 0.1715
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),220601,应付管理人报酬,2206,2,True,,,43996.62,,43996.62,,31,220601 | 应付管理人报酬 | 43996.62 | 0.1715 | 43996.62 | 0.1715
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),2207,应付托管费,,1,False,,,1374.87,,1374.87,,32,2207 | 应付托管费 | 1374.87 | 0.0054 | 1374.87 | 0.0054
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),220701,应付托管费,2207,2,True,,,1374.87,,1374.87,,33,220701 | 应付托管费 | 1374.87 | 0.0054 | 1374.87 | 0.0054
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),2208,应付销售服务费,,1,False,,,54995.8,,54995.8,,34,2208 | 应付销售服务费 | 54995.8 | 0.2144 | 54995.8 | 0.2144
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),220801,应付销售服务费,2208,2,True,,,54995.8,,54995.8,,35,220801 | 应付销售服务费 | 54995.8 | 0.2144 | 54995.8 | 0.2144
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),2209,应付交易费用,,1,False,,,391.44,,391.44,,36,2209 | 应付交易费用 | 391.44 | 0.0015 | 391.44 | 0.0015
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),220904,应付佣金_券商_港股通,2209,2,False,,,391.44,,391.44,,37,220904 | 应付佣金_券商_港股通 | 391.44 | 0.0015 | 391.44 | 0.0015
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),22090401,长城证券,220904,3,False,,,391.44,,391.44,,38,22090401 | 长城证券 | 391.44 | 0.0015 | 391.44 | 0.0015
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),22090401061041,61041,22090401,4,True,,,391.44,,391.44,,39,22090401061041 | 61041 | 391.44 | 0.0015 | 391.44 | 0.0015
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3003,证券清算款,,1,False,,,1466250.49,,1466250.49,,40,3003 | 证券清算款 | 1466250.49 | 5.716 | 1466250.49 | 5.716
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),300324,港股通清算款,3003,2,False,,,1466250.49,,1466250.49,,41,300324 | 港股通清算款 | 1466250.49 | 5.716 | 1466250.49 | 5.716
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),30032401,证券清算款_港股通,300324,3,True,,,1466250.49,,1466250.49,,42,30032401 | 证券清算款_港股通 | 1466250.49 | 5.716 | 1466250.49 | 5.716
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102,衍生工具,,1,False,,,,,1237.26,1237.26,43,3102 | 衍生工具 | 1237.26 | 0.0048 | 1237.26
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C1,衍生工具_收益互换,3102,4,False,,,,,1237.26,1237.26,44,3102C1 | 衍生工具_收益互换 | 1237.26 | 0.0048 | 1237.26
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C101,衍生工具_收益互换_初始合约价值,3102C1,4,False,,,,,1237.26,1237.26,45,3102C101 | 衍生工具_收益互换_初始合约价值 | 1237.26 | 0.0048 | 1237.26
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C101000002,和谐中信收益互换USD-EQ,3102C101,4,True,,,,,-66.23,-66.23,46,3102C101000002 | 和谐中信收益互换USD-EQ | -66.23 | -0.0003 | -66.23
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C101000005,和谐中信收益互换HKD-EQ,3102C101,4,True,,,,,13.43,13.43,47,3102C101000005 | 和谐中信收益互换HKD-EQ | 13.43 | 0.0001 | 13.43
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C101000006,和谐中信收益互换人民币,3102C101,4,True,,,,,1290.06,1290.06,48,3102C101000006 | 和谐中信收益互换人民币 | 1290.06 | 0.005 | 1290.06
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C199,衍生工具_收益互换_公允价值变动,3102C1,4,False,,,1237.26,,1237.26,,49,3102C199 | 衍生工具_收益互换_公允价值变动 | 1237.26 | 0.0048 | 1237.26 | 0.0048
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C199000002,和谐中信收益互换USD-EQ,3102C199,4,True,,,-66.23,,-66.23,,50,3102C199000002 | 和谐中信收益互换USD-EQ | -66.23 | -0.0003 | -66.23 | -0.0003
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C199000005,和谐中信收益互换HKD-EQ,3102C199,4,True,,,13.43,,13.43,,51,3102C199000005 | 和谐中信收益互换HKD-EQ | 13.43 | 0.0001 | 13.43 | 0.0001
data_samples\raw\证券投资基金估值表_PRODUCT_023_2025-03-27.xlsx,Sheet1,2025-03-27,PRODUCT_023,,CUSTODIAN_008,CUSTODIAN_GROUP_008,greatwall,mapping(product_id),3102C199000006,和谐中信收益互换人民币,3102C199,4,True,,,1290.06,,1290.06,,52,3102C199000006 | 和谐中信收益互换人民币 | 1290.06 | 0.005 | 1290.06 | 0.005
